name,total_funding_amount,founded_date
Bear Flag Robotics,11400000,2017
Boost Biomes,9200000,2016
Bountiful,1400000,2015
CB Therapeutics,7620000,2015
Entocycle,11000000,2014
Enveritas,120000,2016
FarmLogs,37000000,2012
Four Growers,,2017
Future Fields,125000,2018
Iron Ox,50206860,2015
Kisan Network,3220000,2016
Modular Science,120000,2012
Nebullam,275000,2016
Ovipost,120000,2017
PickTrace,,2014
Raptor Maps,5100000,2015
Shiok Meats,20350000,2018
Shiru,7000000,2019
Thrive Agric,385000,2016
Thrive Agritech,3100000,2015
Tule,120000,2013
UrbanKisaan,1500000,2017